ID,Turno,Codigo_da_RA
372,Noite,24
373,Noite,24
374,Noite,24
375,Noite,19
376,Noite,19
377,Noite,24
378,Noite,24
379,Noite,24
380,Noite,24
381,Manhã,2
382,Manhã,2
383,Manhã,2
384,Manhã,2
385,Manhã,2
386,Manhã,2
387,Manhã,2
388,Manhã,2
389,Manhã,2
390,Manhã,2
391,Noite,16
392,Noite,16
393,Noite,16
394,Manhã,2
395,Manhã,2
396,Manhã,2
397,Manhã,2
398,Manhã,2
399,Manhã,2
400,Manhã,2
401,Tarde,2
402,Tarde,2
403,Tarde,2
404,Tarde,2
405,Tarde,2
406,Tarde,2
407,Manhã,2
408,Tarde,2
409,Tarde,2
410,Manhã,2
411,Manhã,2
412,Manhã,2
413,Manhã,2
414,Manhã,2
415,Manhã,2
416,Manhã,2
417,Manhã,2
418,Manhã,2
419,Manhã,2
420,Manhã,2
421,Manhã,2
422,Manhã,2
423,Manhã,16
424,Manhã,2
425,Manhã,2
426,Manhã,2
427,Manhã,2
428,Manhã,2
429,Manhã,2
430,Manhã,3
431,Manhã,3
432,Manhã,3
433,Manhã,3
434,Manhã,3
435,Manhã,3
436,Manhã,3
437,Manhã,3
438,Manhã,3
439,Manhã,3
440,Manhã,3
441,Manhã,3
442,Manhã,3
443,Manhã,3
444,Manhã,3
445,Manhã,3
446,Tarde,3
447,Manhã,3
448,Tarde,3
449,Manhã,3
450,Tarde,3
451,Tarde,3
452,Manhã,3
453,Manhã,3
454,Manhã,3
455,Tarde,3
456,Tarde,3
457,Manhã,2
458,Manhã,2
459,Manhã,2
460,Manhã,2
461,Manhã,2
462,Manhã,2
463,Manhã,2
464,Manhã,2
465,Manhã,2
466,Manhã,2
467,Manhã,2
468,Manhã,2
469,Manhã,2
470,Manhã,2
471,Manhã,2
472,Manhã,2
473,Manhã,2
474,Manhã,2
475,Manhã,2
476,Manhã,2
477,Tarde,2
478,Tarde,2
479,Tarde,2
480,Tarde,2
481,Tarde,2
482,Manhã,2
483,Manhã,2
484,Manhã,2
485,Manhã,2
486,Manhã,2
487,Manhã,2
488,Manhã,2
489,Manhã,2
490,Manhã,2
491,Manhã,2
492,Manhã,2
493,Manhã,2
494,Manhã,2
495,Noite,16
496,Manhã,2
497,Manhã,2
498,Manhã,2
499,Manhã,2
500,Manhã,2
501,Manhã,2
502,Tarde,4
503,Tarde,4
504,Tarde,4
505,Manhã,4
506,Tarde,4
507,Manhã,3
508,Manhã,3
509,Manhã,3
510,Manhã,3
511,Manhã,3
512,Manhã,3
513,Manhã,3
514,Manhã,3
515,Manhã,3
516,Manhã,3
517,Manhã,3
518,Tarde,3
519,Tarde,3
520,Tarde,3
521,Tarde,3
522,Manhã,2
523,Manhã,2
524,Manhã,2
525,Manhã,2
526,Manhã,2
527,Manhã,2
528,Manhã,2
529,Manhã,2
530,Manhã,2
531,Manhã,2
532,Manhã,2
533,Manhã,2
534,Manhã,2
535,Manhã,2
536,Manhã,2
537,Tarde,2
538,Tarde,2
539,Tarde,2
540,Tarde,2
541,Manhã,2
542,Manhã,2
543,Manhã,2
544,Manhã,2
545,Manhã,2
546,Manhã,2
547,Tarde,4
548,Tarde,4
549,Tarde,4
550,Tarde,4
551,Tarde,4
552,Tarde,2
553,Manhã,2
554,Manhã,2
555,Manhã,2
556,Manhã,2
557,Manhã,2
558,Manhã,2
559,Manhã,2
560,Manhã,2
561,Manhã,2
562,Manhã,2
563,Manhã,2
564,Manhã,2
565,Tarde,2
566,Tarde,2
567,Tarde,2
568,Tarde,2
569,Tarde,2
570,Manhã,4
571,Manhã,4
572,Manhã,4
573,Manhã,4
574,Manhã,3
575,Manhã,2
576,Manhã,2
577,Manhã,2
578,Manhã,2
579,Manhã,2
580,Manhã,2
581,Manhã,2
582,Manhã,2
583,Manhã,2
584,Manhã,2
585,Tarde,2
586,Tarde,2
587,Tarde,2
588,Manhã,4
589,Manhã,4
590,Manhã,4
591,Manhã,4
592,Manhã,4
593,Manhã,4
594,Manhã,2
595,Manhã,2
596,Tarde,4
597,Tarde,4
598,Tarde,1
599,Manhã,4
600,Manhã,2
601,Manhã,2
602,Manhã,2
603,Manhã,2
604,Manhã,2
605,Manhã,2
606,Tarde,2
607,Manhã,2
608,Manhã,2
609,Manhã,2
610,Manhã,2
611,Manhã,2
612,Manhã,2
613,Manhã,2
614,Manhã,2
615,Tarde,2
616,Tarde,2
617,Tarde,2
618,Tarde,2
619,Manhã,2
620,Manhã,2
621,Manhã,2
622,Manhã,2
623,Manhã,2
624,Tarde,2
625,Manhã,2
626,Manhã,2
627,Manhã,2
628,Manhã,2
629,Tarde,2
630,Tarde,2
631,Tarde,2
632,Manhã,2
633,Manhã,2
634,Manhã,2
635,Manhã,2
636,Manhã,2
637,Manhã,2
638,Manhã,2
639,Manhã,2
640,Tarde,2
641,Tarde,2
642,Tarde,2
643,Manhã,2
644,Manhã,2
645,Manhã,2
646,Manhã,2
647,Manhã,2
648,Manhã,2
649,Tarde,2
650,Tarde,2
651,Manhã,2
652,Manhã,2
653,Manhã,2
654,Manhã,2
655,Manhã,2
656,Manhã,2
657,Manhã,2
658,Manhã,2
659,Manhã,2
660,Manhã,2
661,Manhã,2
662,Manhã,2
663,Tarde,2
664,Tarde,2
665,Tarde,2
666,Manhã,2
667,Manhã,2
668,Manhã,2
669,Manhã,2
670,Manhã,2
671,Manhã,2
672,Manhã,2
673,Manhã,2
674,Tarde,4
675,Tarde,4
676,Tarde,4
677,Manhã,4
678,Tarde,4
679,Tarde,2
680,Tarde,2
681,Manhã,2
682,Manhã,2
683,Manhã,2
684,Manhã,2
685,Manhã,2
686,Manhã,2
687,Manhã,2
688,Manhã,2
689,Manhã,2
690,Manhã,4
691,Manhã,4
692,Manhã,4
693,Manhã,4
694,Manhã,4
695,Manhã,4
696,Manhã,4
697,Manhã,4
698,Manhã,2
699,Manhã,2
700,Tarde,4
701,Manhã,2
702,Manhã,2
703,Manhã,2
704,Manhã,2
705,Manhã,2
706,Manhã,2
707,Manhã,2
708,Manhã,2
709,Manhã,5
710,Manhã,2
