morador_id,codigo
136,codigo_DOC3
136,codigo_DOC4
136,codigo_DOC5
137,codigo_DOC1
137,codigo_DOC2
137,codigo_DOC3
137,codigo_DOC4
137,codigo_DOC5
138,codigo_DOC2
139,codigo_DOC1
139,codigo_DOC2
139,codigo_DOC3
139,codigo_DOC4
139,codigo_DOC5
141,codigo_DOC1
141,codigo_DOC2
141,codigo_DOC3
141,codigo_DOC4
141,codigo_DOC5
142,codigo_DOC2
143,codigo_DOC1
143,codigo_DOC2
143,codigo_DOC3
144,codigo_DOC4
144,codigo_DOC5
147,codigo_DOC5
149,codigo_DOC2
150,codigo_DOC1
150,codigo_DOC3
152,codigo_DOC3
152,codigo_DOC4
152,codigo_DOC5
154,codigo_DOC1
154,codigo_DOC2
154,codigo_DOC3
154,codigo_DOC4
157,codigo_DOC1
157,codigo_DOC2
157,codigo_DOC3
157,codigo_DOC4
158,codigo_DOC1
158,codigo_DOC2
158,codigo_DOC3
158,codigo_DOC4
158,codigo_DOC5
159,codigo_DOC1
159,codigo_DOC2
159,codigo_DOC3
159,codigo_DOC4
159,codigo_DOC5
160,codigo_DOC2
160,codigo_DOC3
160,codigo_DOC4
161,codigo_DOC2
162,codigo_DOC1
162,codigo_DOC3
164,codigo_DOC1
164,codigo_DOC2
164,codigo_DOC3
165,codigo_DOC1
165,codigo_DOC2
165,codigo_DOC3
165,codigo_DOC5
166,codigo_DOC2
167,codigo_DOC1
167,codigo_DOC2
167,codigo_DOC3
170,codigo_DOC2
171,codigo_DOC1
171,codigo_DOC2
171,codigo_DOC3
171,codigo_DOC4
171,codigo_DOC5
173,codigo_DOC1
173,codigo_DOC2
173,codigo_DOC3
173,codigo_DOC4
174,codigo_DOC1
174,codigo_DOC2
174,codigo_DOC3
174,codigo_DOC4
174,codigo_DOC5
175,codigo_DOC1
175,codigo_DOC2
175,codigo_DOC3
179,codigo_DOC1
179,codigo_DOC2
179,codigo_DOC3
180,codigo_DOC2
181,codigo_DOC2
182,codigo_DOC1
182,codigo_DOC2
182,codigo_DOC3
183,codigo_DOC1
183,codigo_DOC3
184,codigo_DOC5
186,codigo_DOC1
186,codigo_DOC2
186,codigo_DOC3
186,codigo_DOC4
186,codigo_DOC5
190,codigo_DOC2
191,codigo_DOC1
191,codigo_DOC2
191,codigo_DOC3
192,codigo_DOC1
192,codigo_DOC2
192,codigo_DOC3
192,codigo_DOC4
192,codigo_DOC5
194,codigo_DOC1
194,codigo_DOC2
194,codigo_DOC3
194,codigo_DOC4
194,codigo_DOC5
195,codigo_DOC2
196,codigo_DOC1
196,codigo_DOC2
