ID,Rua_Acolhimento,Motivo_dormir_rua
1015,Rua,Outros
1016,Rua,Alcoolismo e/ou uso de drogas
1017,Rua,Desentendimentos na comunidade ou vizinhança
1018,Rua,Conflitos familiares (inclui separação)
1019,Rua,Conflitos familiares (inclui separação)
1020,Rua,Para ficar perto do trabalho/ sem passagem para voltar para casa (mais de uma vez)
1021,Rua,Demissão do trabalho/desemprego ou perda da renda
1022,Rua,Nasci na rua e permaneço nela
1023,Rua,Conflitos familiares (inclui separação)
1024,Rua,Alcoolismo e/ou uso de drogas
1025,Rua,Conflitos familiares (inclui separação)
1026,Rua,Demissão do trabalho/desemprego ou perda da renda
1027,Rua,Conflitos familiares (inclui separação)
1028,Rua,Conflitos familiares (inclui separação)
1029,Rua,Demissão do trabalho/desemprego ou perda da renda
1030,Rua,Conflitos familiares (inclui separação)
1031,Rua,Migrantes ou refugiado
1032,Rua,Outros
1033,Rua,Saída do sistema prisional (Casa de detenção/cadeia/penitenciária/ DEGASE)
1034,Rua,Conflitos familiares (inclui separação)
1035,Rua,Alcoolismo e/ou uso de drogas
1036,Rua,Conflitos familiares (inclui separação)
1037,Rua,Outros
1038,Rua,Para ficar perto do trabalho/ sem passagem para voltar para casa (mais de uma vez)
1039,Rua,NS/NR
1040,Rua,Alcoolismo e/ou uso de drogas
1041,Rua,Demissão do trabalho/desemprego ou perda da renda
1042,Rua,Alcoolismo e/ou uso de drogas
1043,Rua,Conflitos familiares (inclui separação)
1044,Rua,NS/NR
1045,Rua,Conflitos familiares (inclui separação)
1046,Rua,Conflitos familiares (inclui separação)
1047,Rua,Demissão do trabalho/desemprego ou perda da renda
1048,Rua,"Sofria ameaças, abusos ou violência"
1049,Rua,Conflitos familiares (inclui separação)
1050,Rua,"Sofria ameaças, abusos ou violência"
1051,Rua,Conflitos familiares (inclui separação)
1052,Rua,Conflitos familiares (inclui separação)
1053,Rua,Conflitos familiares (inclui separação)
1054,Rua,Conflitos familiares (inclui separação)
1055,Rua,Nasci na rua e permaneço nela
1056,Rua,Conflitos familiares (inclui separação)
1057,Rua,Demissão do trabalho/desemprego ou perda da renda
1058,Rua,Alcoolismo e/ou uso de drogas
1059,Rua,Alcoolismo e/ou uso de drogas
1060,Rua,Conflitos familiares (inclui separação)
1061,Rua,Conflitos familiares (inclui separação)
1062,Rua,Conflitos familiares (inclui separação)
1063,Rua,Demissão do trabalho/desemprego ou perda da renda
1064,Rua,Outros
1065,Rua,Migrantes ou refugiado
1066,Rua,Alcoolismo e/ou uso de drogas
1067,Rua,Alcoolismo e/ou uso de drogas
1068,Rua,Conflitos familiares (inclui separação)
1069,Rua,Conflitos familiares (inclui separação)
1070,Rua,Demissão do trabalho/desemprego ou perda da renda
1071,Rua,"Perda de casa por causas naturais/acidentes (ex: alagamentos, deslizamentos e incêndios)"
1072,Rua,Migrantes ou refugiado
1073,Rua,Conflitos familiares (inclui separação)
1074,Rua,Conflitos familiares (inclui separação)
1075,Rua,Conflitos familiares (inclui separação)
1076,Rua,Conflitos familiares (inclui separação)
1077,Rua,Conflitos familiares (inclui separação)
1078,Rua,Conflitos familiares (inclui separação)
1079,Rua,Conflitos familiares (inclui separação)
1080,Rua,Outros
1081,Rua,Outros
1082,Rua,Conflitos familiares (inclui separação)
1083,Rua,Demissão do trabalho/desemprego ou perda da renda
1084,Rua,Outros
1085,Rua,Conflitos familiares (inclui separação)
1086,Rua,Outros
1087,Rua,Demissão do trabalho/desemprego ou perda da renda
1088,Rua,Conflitos familiares (inclui separação)
1089,Rua,Alcoolismo e/ou uso de drogas
1090,Rua,Conflitos familiares (inclui separação)
1091,Rua,Outros
1092,Rua,Conflitos familiares (inclui separação)
1093,Rua,Conflitos familiares (inclui separação)
1094,Rua,Demissão do trabalho/desemprego ou perda da renda
1095,Rua,Demissão do trabalho/desemprego ou perda da renda
1096,Rua,Demissão do trabalho/desemprego ou perda da renda
1097,Rua,Conflitos familiares (inclui separação)
1098,Rua,Demissão do trabalho/desemprego ou perda da renda
1099,Rua,Para ficar perto do trabalho/ sem passagem para voltar para casa (mais de uma vez)
1100,Rua,Alcoolismo e/ou uso de drogas
1101,Rua,Alcoolismo e/ou uso de drogas
1102,Rua,Alcoolismo e/ou uso de drogas
1103,Rua,Alcoolismo e/ou uso de drogas
1104,Rua,Conflitos familiares (inclui separação)
1105,Rua,Conflitos familiares (inclui separação)
1106,Rua,Conflitos familiares (inclui separação)
1107,Rua,Outros
1108,Rua,Alcoolismo e/ou uso de drogas
1109,Rua,Conflitos familiares (inclui separação)
1110,Rua,Demissão do trabalho/desemprego ou perda da renda
1111,Rua,Conflitos familiares (inclui separação)
1112,Rua,Conflitos familiares (inclui separação)
1113,Rua,Conflitos familiares (inclui separação)
1114,Rua,Demissão do trabalho/desemprego ou perda da renda
1115,Rua,Demissão do trabalho/desemprego ou perda da renda
1116,Rua,Conflitos familiares (inclui separação)
1117,Rua,Conflitos familiares (inclui separação)
1118,Rua,Demissão do trabalho/desemprego ou perda da renda
1119,Rua,Conflitos familiares (inclui separação)
1120,Rua,Conflitos familiares (inclui separação)
1121,Rua,Alcoolismo e/ou uso de drogas
1122,Rua,Conflitos familiares (inclui separação)
1123,Rua,Outros
1124,Rua,Conflitos familiares (inclui separação)
1125,Rua,Conflitos familiares (inclui separação)
1126,Rua,Demissão do trabalho/desemprego ou perda da renda
1127,Rua,Demissão do trabalho/desemprego ou perda da renda
1128,Rua,"Perda de casa por causas naturais/acidentes (ex: alagamentos, deslizamentos e incêndios)"
1129,Rua,Alcoolismo e/ou uso de drogas
1130,Rua,Demissão do trabalho/desemprego ou perda da renda
1131,Rua,Demissão do trabalho/desemprego ou perda da renda
1132,Rua,Conflitos familiares (inclui separação)
1133,Rua,Demissão do trabalho/desemprego ou perda da renda
1134,Rua,Demissão do trabalho/desemprego ou perda da renda
1135,Rua,Conflitos familiares (inclui separação)
1136,Rua,Conflitos familiares (inclui separação)
1137,Rua,Outros
1138,Rua,Conflitos familiares (inclui separação)
1139,Rua,Conflitos familiares (inclui separação)
1140,Rua,Demissão do trabalho/desemprego ou perda da renda
1141,Rua,Família passou a viver na rua
1142,Rua,Conflitos familiares (inclui separação)
1143,Rua,Conflitos familiares (inclui separação)
1144,Rua,Conflitos familiares (inclui separação)
1145,Rua,Conflitos familiares (inclui separação)
1146,Rua,"Sofria ameaças, abusos ou violência"
1147,Rua,Alcoolismo e/ou uso de drogas
1148,Rua,Alcoolismo e/ou uso de drogas
1149,Rua,Demissão do trabalho/desemprego ou perda da renda
1150,Rua,Outros
1151,Rua,Conflitos familiares (inclui separação)
1152,Rua,Alcoolismo e/ou uso de drogas
1153,Rua,Outros
1154,Rua,Alcoolismo e/ou uso de drogas
1155,Rua,Demissão do trabalho/desemprego ou perda da renda
1156,Rua,Alcoolismo e/ou uso de drogas
1157,Rua,Conflitos familiares (inclui separação)
1158,Rua,Conflitos familiares (inclui separação)
1159,Rua,Demissão do trabalho/desemprego ou perda da renda
1160,Rua,Desentendimentos na comunidade ou vizinhança
1161,Rua,Conflitos familiares (inclui separação)
1162,Rua,Demissão do trabalho/desemprego ou perda da renda
1163,Rua,Demissão do trabalho/desemprego ou perda da renda
1164,Rua,Demissão do trabalho/desemprego ou perda da renda
1165,Rua,Conflitos familiares (inclui separação)
1166,Rua,Para ficar perto do trabalho/ sem passagem para voltar para casa (mais de uma vez)
1167,Rua,Migrantes ou refugiado
1168,Rua,Alcoolismo e/ou uso de drogas
1169,Rua,Demissão do trabalho/desemprego ou perda da renda
1170,Rua,Demissão do trabalho/desemprego ou perda da renda
1171,Rua,"Perda de casa por causas naturais/acidentes (ex: alagamentos, deslizamentos e incêndios)"
1172,Rua,"Sofria ameaças, abusos ou violência"
1173,Rua,Demissão do trabalho/desemprego ou perda da renda
1174,Rua,Conflitos familiares (inclui separação)
1175,Rua,Conflitos familiares (inclui separação)
1176,Rua,Alcoolismo e/ou uso de drogas
1177,Rua,Conflitos familiares (inclui separação)
1178,Rua,"Sofria ameaças, abusos ou violência"
1179,Rua,Conflitos familiares (inclui separação)
1180,Rua,"Sofria ameaças, abusos ou violência"
1181,Rua,Alcoolismo e/ou uso de drogas
1182,Rua,Conflitos familiares (inclui separação)
1183,Rua,Demissão do trabalho/desemprego ou perda da renda
1184,Rua,Conflitos familiares (inclui separação)
1185,Rua,Demissão do trabalho/desemprego ou perda da renda
1186,Rua,Conflitos familiares (inclui separação)
1187,Rua,Conflitos familiares (inclui separação)
1188,Rua,Demissão do trabalho/desemprego ou perda da renda
1189,Rua,Alcoolismo e/ou uso de drogas
1190,Rua,Conflitos familiares (inclui separação)
1191,Rua,Conflitos familiares (inclui separação)
1192,Rua,Alcoolismo e/ou uso de drogas
1193,Rua,Conflitos familiares (inclui separação)
1194,Rua,Alcoolismo e/ou uso de drogas
1195,Rua,"Perda de casa por causas naturais/acidentes (ex: alagamentos, deslizamentos e incêndios)"
1196,Rua,Demissão do trabalho/desemprego ou perda da renda
1197,Rua,Conflitos familiares (inclui separação)
1198,Rua,Conflitos familiares (inclui separação)
1199,Rua,Conflitos familiares (inclui separação)
1200,Rua,Conflitos familiares (inclui separação)
1201,Rua,Conflitos familiares (inclui separação)
1202,Rua,Conflitos familiares (inclui separação)
1203,Rua,Conflitos familiares (inclui separação)
1204,Rua,Conflitos familiares (inclui separação)
1205,Rua,Conflitos familiares (inclui separação)
1206,Rua,Conflitos familiares (inclui separação)
1207,Rua,Conflitos familiares (inclui separação)
1208,Rua,Conflitos familiares (inclui separação)
1209,Rua,Conflitos familiares (inclui separação)
1210,Rua,Conflitos familiares (inclui separação)
1211,Rua,Conflitos familiares (inclui separação)
1212,Rua,Conflitos familiares (inclui separação)
1213,Rua,Conflitos familiares (inclui separação)
1214,Rua,Demissão do trabalho/desemprego ou perda da renda
1215,Rua,"Perda de casa por causas naturais/acidentes (ex: alagamentos, deslizamentos e incêndios)"
1216,Rua,Demissão do trabalho/desemprego ou perda da renda
1217,Rua,Alcoolismo e/ou uso de drogas
1218,Rua,Andarilho / Nômade / Viajante
1219,Rua,Conflitos familiares (inclui separação)
1220,Rua,Demissão do trabalho/desemprego ou perda da renda
1221,Rua,Alcoolismo e/ou uso de drogas
1222,Rua,Alcoolismo e/ou uso de drogas
1223,Rua,Alcoolismo e/ou uso de drogas
1224,Rua,Conflitos familiares (inclui separação)
1225,Rua,Conflitos familiares (inclui separação)
1226,Rua,Alcoolismo e/ou uso de drogas
1227,Rua,Conflitos familiares (inclui separação)
1228,Rua,Conflitos familiares (inclui separação)
1229,Rua,Conflitos familiares (inclui separação)
1230,Rua,Alcoolismo e/ou uso de drogas
1231,Rua,Família passou a viver na rua
1232,Rua,Demissão do trabalho/desemprego ou perda da renda
1233,Rua,Conflitos familiares (inclui separação)
1234,Rua,Demissão do trabalho/desemprego ou perda da renda
1235,Rua,Demissão do trabalho/desemprego ou perda da renda
1236,Rua,Outros
1237,Rua,Demissão do trabalho/desemprego ou perda da renda
1238,Rua,Conflitos familiares (inclui separação)
1239,Rua,Demissão do trabalho/desemprego ou perda da renda
1240,Rua,Conflitos familiares (inclui separação)
1241,Rua,Conflitos familiares (inclui separação)
1242,Rua,Alcoolismo e/ou uso de drogas
1243,Rua,Demissão do trabalho/desemprego ou perda da renda
1244,Rua,Conflitos familiares (inclui separação)
1245,Rua,Conflitos familiares (inclui separação)
1246,Rua,Demissão do trabalho/desemprego ou perda da renda
1247,Rua,Conflitos familiares (inclui separação)
1248,Rua,Conflitos familiares (inclui separação)
1249,Rua,Conflitos familiares (inclui separação)
1250,Rua,Para ficar perto do trabalho/ sem passagem para voltar para casa (mais de uma vez)
1251,Rua,Alcoolismo e/ou uso de drogas
1252,Rua,"Sofria ameaças, abusos ou violência"
1253,Rua,Conflitos familiares (inclui separação)
1254,Rua,Outros
1255,Rua,Outros
1256,Rua,Demissão do trabalho/desemprego ou perda da renda
1257,Rua,Conflitos familiares (inclui separação)
1258,Rua,Conflitos familiares (inclui separação)
1259,Rua,Demissão do trabalho/desemprego ou perda da renda
1260,Rua,Demissão do trabalho/desemprego ou perda da renda
1261,Rua,Nasci na rua e permaneço nela
1262,Rua,Alcoolismo e/ou uso de drogas
1263,Rua,Alcoolismo e/ou uso de drogas
1264,Rua,Andarilho / Nômade / Viajante
1265,Rua,Conflitos familiares (inclui separação)
1266,Rua,Conflitos familiares (inclui separação)
1267,Rua,Demissão do trabalho/desemprego ou perda da renda
1268,Rua,Conflitos familiares (inclui separação)
1269,Rua,Alcoolismo e/ou uso de drogas
1270,Rua,Alcoolismo e/ou uso de drogas
1271,Rua,Outros
1272,Rua,Desentendimentos na comunidade ou vizinhança
1273,Rua,Para ficar perto do trabalho/ sem passagem para voltar para casa (mais de uma vez)
1274,Rua,Conflitos familiares (inclui separação)
1275,Rua,Alcoolismo e/ou uso de drogas
1276,Rua,"Sofria ameaças, abusos ou violência"
1277,Rua,Conflitos familiares (inclui separação)
1278,Rua,Alcoolismo e/ou uso de drogas
1279,Rua,Desentendimentos na comunidade ou vizinhança
1280,Rua,Saída do sistema prisional (Casa de detenção/cadeia/penitenciária/ DEGASE)
1281,Rua,Alcoolismo e/ou uso de drogas
1282,Rua,Conflitos familiares (inclui separação)
1283,Rua,Demissão do trabalho/desemprego ou perda da renda
1284,Rua,Conflitos familiares (inclui separação)
1285,Rua,Conflitos familiares (inclui separação)
1286,Rua,Conflitos familiares (inclui separação)
1287,Rua,Alcoolismo e/ou uso de drogas
1288,Rua,Andarilho / Nômade / Viajante
1289,Rua,Para ficar perto do trabalho/ sem passagem para voltar para casa (mais de uma vez)
1290,Rua,Demissão do trabalho/desemprego ou perda da renda
1291,Rua,Alcoolismo e/ou uso de drogas
1292,Rua,Desentendimentos na comunidade ou vizinhança
1293,Rua,Demissão do trabalho/desemprego ou perda da renda
1294,Rua,Alcoolismo e/ou uso de drogas
1295,Rua,Conflitos familiares (inclui separação)
1296,Rua,Outros
1297,Rua,Outros
1298,Rua,Conflitos familiares (inclui separação)
1299,Rua,Conflitos familiares (inclui separação)
1300,Rua,Conflitos familiares (inclui separação)
1301,Rua,Alcoolismo e/ou uso de drogas
1302,Rua,Conflitos familiares (inclui separação)
1303,Rua,Demissão do trabalho/desemprego ou perda da renda
1304,Rua,Conflitos familiares (inclui separação)
1305,Rua,Conflitos familiares (inclui separação)
1306,Rua,Demissão do trabalho/desemprego ou perda da renda
1307,Rua,Alcoolismo e/ou uso de drogas
1308,Rua,Alcoolismo e/ou uso de drogas
1309,Rua,Demissão do trabalho/desemprego ou perda da renda
1310,Rua,Alcoolismo e/ou uso de drogas
1311,Rua,Conflitos familiares (inclui separação)
1312,Rua,Conflitos familiares (inclui separação)
1313,Rua,Conflitos familiares (inclui separação)
1314,Rua,Conflitos familiares (inclui separação)
1315,Rua,Desentendimentos na comunidade ou vizinhança
1316,Rua,Alcoolismo e/ou uso de drogas
1317,Rua,Outros
1318,Rua,Alcoolismo e/ou uso de drogas
1319,Rua,Alcoolismo e/ou uso de drogas
1320,Rua,Conflitos familiares (inclui separação)
1321,Rua,Conflitos familiares (inclui separação)
1322,Rua,"Sofria ameaças, abusos ou violência"
1323,Rua,Conflitos familiares (inclui separação)
1324,Rua,Desentendimentos na comunidade ou vizinhança
1325,Rua,Conflitos familiares (inclui separação)
1326,Rua,Alcoolismo e/ou uso de drogas
1327,Rua,Alcoolismo e/ou uso de drogas
1328,Rua,Conflitos familiares (inclui separação)
1329,Rua,Alcoolismo e/ou uso de drogas
1330,Rua,Alcoolismo e/ou uso de drogas
1331,Rua,Conflitos familiares (inclui separação)
1332,Rua,Conflitos familiares (inclui separação)
1333,Rua,Alcoolismo e/ou uso de drogas
1334,Rua,Alcoolismo e/ou uso de drogas
1335,Rua,Demissão do trabalho/desemprego ou perda da renda
1336,Rua,Outros
1337,Rua,Conflitos familiares (inclui separação)
1338,Rua,Conflitos familiares (inclui separação)
1339,Rua,Conflitos familiares (inclui separação)
1340,Rua,Outros
1341,Rua,Outros
1342,Rua,Outros
1343,Rua,Conflitos familiares (inclui separação)
1344,Rua,"Sofria ameaças, abusos ou violência"
1345,Rua,Conflitos familiares (inclui separação)
1346,Rua,Para ficar perto do trabalho/ sem passagem para voltar para casa (mais de uma vez)
1347,Rua,Conflitos familiares (inclui separação)
1348,Rua,Outros
1349,Rua,Conflitos familiares (inclui separação)
1350,Rua,Conflitos familiares (inclui separação)
1351,Rua,Conflitos familiares (inclui separação)
1352,Rua,Alcoolismo e/ou uso de drogas
1353,Rua,Demissão do trabalho/desemprego ou perda da renda
1354,Rua,Alcoolismo e/ou uso de drogas
1355,Rua,Alcoolismo e/ou uso de drogas
1356,Rua,Conflitos familiares (inclui separação)
1357,Rua,Andarilho / Nômade / Viajante
1358,Rua,Demissão do trabalho/desemprego ou perda da renda
1359,Rua,Demissão do trabalho/desemprego ou perda da renda
1360,Rua,Conflitos familiares (inclui separação)
1361,Rua,Conflitos familiares (inclui separação)
1362,Rua,Conflitos familiares (inclui separação)
1363,Rua,Alcoolismo e/ou uso de drogas
1364,Rua,Alcoolismo e/ou uso de drogas
1365,Rua,Conflitos familiares (inclui separação)
1366,Rua,Demissão do trabalho/desemprego ou perda da renda
1367,Rua,Conflitos familiares (inclui separação)
1368,Rua,Alcoolismo e/ou uso de drogas
1369,Rua,Demissão do trabalho/desemprego ou perda da renda
1370,Rua,Conflitos familiares (inclui separação)
1371,Rua,Demissão do trabalho/desemprego ou perda da renda
1372,Rua,Demissão do trabalho/desemprego ou perda da renda
1373,Rua,Demissão do trabalho/desemprego ou perda da renda
1374,Rua,Conflitos familiares (inclui separação)
1375,Rua,Demissão do trabalho/desemprego ou perda da renda
1376,Rua,Saída do sistema prisional (Casa de detenção/cadeia/penitenciária/ DEGASE)
1377,Rua,Conflitos familiares (inclui separação)
1378,Rua,Conflitos familiares (inclui separação)
1379,Rua,Conflitos familiares (inclui separação)
1380,Rua,Conflitos familiares (inclui separação)
1381,Rua,Conflitos familiares (inclui separação)
1382,Rua,Conflitos familiares (inclui separação)
1383,Rua,Demissão do trabalho/desemprego ou perda da renda
1384,Rua,Conflitos familiares (inclui separação)
1385,Rua,Conflitos familiares (inclui separação)
1386,Rua,Outros
1387,Rua,Saída do sistema prisional (Casa de detenção/cadeia/penitenciária/ DEGASE)
1388,Rua,Conflitos familiares (inclui separação)
1389,Rua,Conflitos familiares (inclui separação)
1390,Rua,Outros
1391,Rua,Conflitos familiares (inclui separação)
1392,Rua,Outros
1393,Rua,Conflitos familiares (inclui separação)
1394,Rua,Demissão do trabalho/desemprego ou perda da renda
1395,Rua,Conflitos familiares (inclui separação)
1396,Rua,NS/NR
1397,Rua,Alcoolismo e/ou uso de drogas
1398,Rua,Outros
1399,Rua,Saída do sistema prisional (Casa de detenção/cadeia/penitenciária/ DEGASE)
1400,Rua,Conflitos familiares (inclui separação)
1401,Rua,Conflitos familiares (inclui separação)
1402,Rua,NS/NR
1403,Rua,Alcoolismo e/ou uso de drogas
1404,Rua,Outros
1405,Rua,Saída do sistema prisional (Casa de detenção/cadeia/penitenciária/ DEGASE)
1406,Rua,Conflitos familiares (inclui separação)
1407,Rua,Conflitos familiares (inclui separação)
1408,Rua,NS/NR
1409,Rua,Alcoolismo e/ou uso de drogas
1410,Rua,Conflitos familiares (inclui separação)
1411,Rua,Alcoolismo e/ou uso de drogas
1412,Rua,Conflitos familiares (inclui separação)
1413,Rua,Conflitos familiares (inclui separação)
1414,Rua,Conflitos familiares (inclui separação)
1415,Rua,Conflitos familiares (inclui separação)
1416,Rua,Alcoolismo e/ou uso de drogas
1417,Rua,Conflitos familiares (inclui separação)
1418,Rua,Alcoolismo e/ou uso de drogas
1419,Rua,Demissão do trabalho/desemprego ou perda da renda
1420,Rua,Outros
1421,Rua,Outros
1422,Rua,Demissão do trabalho/desemprego ou perda da renda
1423,Rua,Demissão do trabalho/desemprego ou perda da renda
1424,Rua,Família passou a viver na rua
1425,Rua,Conflitos familiares (inclui separação)
1426,Rua,Demissão do trabalho/desemprego ou perda da renda
1427,Rua,Outros
1428,Rua,Conflitos familiares (inclui separação)
1429,Rua,Demissão do trabalho/desemprego ou perda da renda
1430,Rua,Alcoolismo e/ou uso de drogas
1431,Rua,Demissão do trabalho/desemprego ou perda da renda
1432,Rua,Alcoolismo e/ou uso de drogas
1433,Rua,Conflitos familiares (inclui separação)
1434,Rua,Outros
1435,Rua,Outros
1436,Rua,Demissão do trabalho/desemprego ou perda da renda
1437,Rua,"Perda de casa por causas naturais/acidentes (ex: alagamentos, deslizamentos e incêndios)"
1438,Rua,Conflitos familiares (inclui separação)
1439,Rua,"Perda de casa por causas naturais/acidentes (ex: alagamentos, deslizamentos e incêndios)"
1440,Rua,Conflitos familiares (inclui separação)
1441,Rua,Conflitos familiares (inclui separação)
1442,Rua,Demissão do trabalho/desemprego ou perda da renda
1443,Rua,Alcoolismo e/ou uso de drogas
1444,Rua,Conflitos familiares (inclui separação)
1445,Rua,Conflitos familiares (inclui separação)
1446,Rua,Nasci na rua e permaneço nela
1447,Rua,Conflitos familiares (inclui separação)
1448,Rua,Desentendimentos na comunidade ou vizinhança
1449,Rua,Demissão do trabalho/desemprego ou perda da renda
1450,Rua,Conflitos familiares (inclui separação)
1451,Rua,Nasci na rua e permaneço nela
1452,Rua,Para ficar perto do trabalho/ sem passagem para voltar para casa (mais de uma vez)
1453,Rua,Outros
1454,Rua,Conflitos familiares (inclui separação)
1455,Rua,Alcoolismo e/ou uso de drogas
1456,Rua,Conflitos familiares (inclui separação)
1457,Rua,Para ficar perto do trabalho/ sem passagem para voltar para casa (mais de uma vez)
1458,Rua,Família passou a viver na rua
1459,Rua,Alcoolismo e/ou uso de drogas
1460,Rua,Alcoolismo e/ou uso de drogas
1461,Rua,Alcoolismo e/ou uso de drogas
1462,Rua,Outros
1463,Rua,Família passou a viver na rua
1464,Rua,Alcoolismo e/ou uso de drogas
1465,Rua,"Perda de casa por causas naturais/acidentes (ex: alagamentos, deslizamentos e incêndios)"
1466,Rua,Outros
1467,Rua,Família passou a viver na rua
1468,Rua,Outros
1469,Rua,NS/NR
1470,Rua,NS/NR
1471,Rua,Conflitos familiares (inclui separação)
1472,Rua,Conflitos familiares (inclui separação)
1473,Rua,Outros
1474,Rua,Demissão do trabalho/desemprego ou perda da renda
1475,Rua,Demissão do trabalho/desemprego ou perda da renda
1476,Rua,Conflitos familiares (inclui separação)
1477,Rua,Conflitos familiares (inclui separação)
1478,Rua,Conflitos familiares (inclui separação)
1479,Rua,Outros
1480,Rua,Outros
1481,Rua,Demissão do trabalho/desemprego ou perda da renda
1482,Rua,Para ficar perto do trabalho/ sem passagem para voltar para casa (mais de uma vez)
1483,Rua,Demissão do trabalho/desemprego ou perda da renda
1484,Rua,Migrantes ou refugiado
1485,Rua,NS/NR
1486,Rua,Andarilho / Nômade / Viajante
1487,Rua,Demissão do trabalho/desemprego ou perda da renda
1488,Rua,Demissão do trabalho/desemprego ou perda da renda
1489,Rua,Para ficar perto do trabalho/ sem passagem para voltar para casa (mais de uma vez)
1490,Rua,Outros
1491,Rua,Outros
1492,Rua,NS/NR
1493,Rua,Conflitos familiares (inclui separação)
1494,Rua,Alcoolismo e/ou uso de drogas
1495,Rua,Alcoolismo e/ou uso de drogas
1496,Rua,Conflitos familiares (inclui separação)
1497,Rua,Demissão do trabalho/desemprego ou perda da renda
1498,Rua,Alcoolismo e/ou uso de drogas
1499,Rua,Conflitos familiares (inclui separação)
1500,Rua,Conflitos familiares (inclui separação)
1501,Rua,Conflitos familiares (inclui separação)
1502,Rua,Outros
1503,Rua,Conflitos familiares (inclui separação)
1504,Rua,Outros
1505,Rua,Alcoolismo e/ou uso de drogas
1506,Rua,Alcoolismo e/ou uso de drogas
1507,Rua,Conflitos familiares (inclui separação)
1508,Rua,Conflitos familiares (inclui separação)
1509,Rua,Para ficar perto do trabalho/ sem passagem para voltar para casa (mais de uma vez)
1510,Rua,Conflitos familiares (inclui separação)
1511,Rua,Demissão do trabalho/desemprego ou perda da renda
1512,Rua,Conflitos familiares (inclui separação)
1513,Rua,Nasci na rua e permaneço nela
1514,Rua,Conflitos familiares (inclui separação)
1515,Rua,Alcoolismo e/ou uso de drogas
1516,Rua,Alcoolismo e/ou uso de drogas
1517,Rua,Outros
1518,Rua,Conflitos familiares (inclui separação)
1519,Rua,Outros
1520,Rua,"Sofria ameaças, abusos ou violência"
1521,Rua,Conflitos familiares (inclui separação)
1522,Rua,Demissão do trabalho/desemprego ou perda da renda
1523,Rua,"Sofria ameaças, abusos ou violência"
1524,Rua,Conflitos familiares (inclui separação)
1525,Rua,Alcoolismo e/ou uso de drogas
1526,Rua,Alcoolismo e/ou uso de drogas
1527,Rua,Outros
1528,Rua,Conflitos familiares (inclui separação)
1529,Rua,Conflitos familiares (inclui separação)
1530,Rua,Conflitos familiares (inclui separação)
1531,Rua,Conflitos familiares (inclui separação)
1532,Rua,Demissão do trabalho/desemprego ou perda da renda
1533,Rua,Demissão do trabalho/desemprego ou perda da renda
1534,Rua,Alcoolismo e/ou uso de drogas
1535,Rua,Outros
1536,Rua,Andarilho / Nômade / Viajante
1537,Rua,Nasci na rua e permaneço nela
1538,Rua,Conflitos familiares (inclui separação)
1539,Rua,Alcoolismo e/ou uso de drogas
1540,Rua,Outros
1541,Rua,Alcoolismo e/ou uso de drogas
1542,Rua,Conflitos familiares (inclui separação)
1543,Rua,Conflitos familiares (inclui separação)
1544,Rua,Conflitos familiares (inclui separação)
1545,Rua,Demissão do trabalho/desemprego ou perda da renda
1546,Rua,Nasci na rua e permaneço nela
1547,Rua,Alcoolismo e/ou uso de drogas
1548,Rua,Alcoolismo e/ou uso de drogas
1549,Rua,NS/NR
1550,Rua,Conflitos familiares (inclui separação)
1551,Rua,Conflitos familiares (inclui separação)
1552,Rua,Conflitos familiares (inclui separação)
1553,Rua,Outros
1554,Rua,Conflitos familiares (inclui separação)
1555,Rua,Conflitos familiares (inclui separação)
1556,Rua,Alcoolismo e/ou uso de drogas
1557,Rua,Conflitos familiares (inclui separação)
1558,Rua,Conflitos familiares (inclui separação)
1559,Rua,Conflitos familiares (inclui separação)
1560,Rua,Demissão do trabalho/desemprego ou perda da renda
1561,Rua,Alcoolismo e/ou uso de drogas
1562,Rua,Para ficar perto do trabalho/ sem passagem para voltar para casa (mais de uma vez)
1563,Rua,Demissão do trabalho/desemprego ou perda da renda
1564,Rua,Conflitos familiares (inclui separação)
1565,Rua,Conflitos familiares (inclui separação)
1566,Rua,Conflitos familiares (inclui separação)
1567,Rua,Demissão do trabalho/desemprego ou perda da renda
1568,Rua,Conflitos familiares (inclui separação)
1569,Rua,Conflitos familiares (inclui separação)
1570,Rua,Outros
1571,Rua,Conflitos familiares (inclui separação)
1572,Rua,Conflitos familiares (inclui separação)
1573,Rua,Conflitos familiares (inclui separação)
1574,Rua,Conflitos familiares (inclui separação)
1575,Rua,Para ficar perto do trabalho/ sem passagem para voltar para casa (mais de uma vez)
1576,Rua,Para ficar perto do trabalho/ sem passagem para voltar para casa (mais de uma vez)
1577,Rua,Conflitos familiares (inclui separação)
1578,Rua,Desentendimentos na comunidade ou vizinhança
1579,Rua,Conflitos familiares (inclui separação)
1580,Rua,Conflitos familiares (inclui separação)
1581,Rua,Conflitos familiares (inclui separação)
1582,Rua,Conflitos familiares (inclui separação)
1583,Rua,"Perda de casa por causas naturais/acidentes (ex: alagamentos, deslizamentos e incêndios)"
1584,Rua,Conflitos familiares (inclui separação)
1585,Rua,Alcoolismo e/ou uso de drogas
1586,Rua,Conflitos familiares (inclui separação)
1587,Rua,Conflitos familiares (inclui separação)
1588,Rua,Alcoolismo e/ou uso de drogas
1589,Rua,Andarilho / Nômade / Viajante
1590,Rua,Conflitos familiares (inclui separação)
